Date,Group,Item,Value
2017-09-01,Rural goods,Rural goods,3796
2017-10-01,Rural goods,Rural goods,3695
2017-11-01,Rural goods,Rural goods,3615
2017-12-01,Rural goods,Rural goods,4036
2018-01-01,Rural goods,Rural goods,2917
2018-02-01,Rural goods,Rural goods,3750
2018-03-01,Rural goods,Rural goods,4315
2018-04-01,Rural goods,Rural goods,3980
2018-05-01,Rural goods,Rural goods,4287
2018-06-01,Rural goods,Rural goods,4315
2018-07-01,Rural goods,Rural goods,4272
2018-08-01,Rural goods,Rural goods,4153
2018-09-01,Rural goods,Rural goods,3862
2018-10-01,Rural goods,Rural goods,3610
2018-11-01,Rural goods,Rural goods,3646
2018-12-01,Rural goods,Rural goods,4305
2019-01-01,Rural goods,Rural goods,3592
2019-02-01,Rural goods,Rural goods,3887
2019-03-01,Rural goods,Rural goods,4444
2019-04-01,Rural goods,Rural goods,4049
2019-05-01,Rural goods,Rural goods,4216
2019-06-01,Rural goods,Rural goods,3891
2019-07-01,Rural goods,Rural goods,3892
2019-08-01,Rural goods,Rural goods,3731
2019-09-01,Rural goods,Rural goods,3732
2019-10-01,Rural goods,Rural goods,3892
2019-11-01,Rural goods,Rural goods,3958
2019-12-01,Rural goods,Rural goods,4333
2020-01-01,Rural goods,Rural goods,3621
2020-02-01,Rural goods,Rural goods,3752
2020-03-01,Rural goods,Rural goods,4441
2020-04-01,Rural goods,Rural goods,4013
2020-05-01,Rural goods,Rural goods,3714
2020-06-01,Rural goods,Rural goods,3624
2020-07-01,Rural goods,Rural goods,2942
2020-08-01,Rural goods,Rural goods,3156
2020-09-01,Rural goods,Rural goods,2882
2020-10-01,Rural goods,Rural goods,3182
2020-11-01,Rural goods,Rural goods,3245
2020-12-01,Rural goods,Rural goods,4343
2021-01-01,Rural goods,Rural goods,3638
2021-02-01,Rural goods,Rural goods,3988
2021-03-01,Rural goods,Rural goods,4826
2021-04-01,Rural goods,Rural goods,4417
2021-05-01,Rural goods,Rural goods,4722
2021-06-01,Rural goods,Rural goods,4660
2021-07-01,Rural goods,Rural goods,4877
2021-08-01,Rural goods,Rural goods,4882
2021-09-01,Rural goods,Rural goods,4397
2021-10-01,Rural goods,Rural goods,4431
2021-11-01,Rural goods,Rural goods,5144
2021-12-01,Rural goods,Rural goods,5364
2022-01-01,Rural goods,Rural goods,5185
2022-02-01,Rural goods,Rural goods,5392
2022-03-01,Rural goods,Rural goods,5861
